Serving RSRP_All Logs,Serving RSRQ_All Logs,Serving RSSI_All Logs,Serving PCC SINR_All Logs,Serving DL EARFCN_All Logs,PCC PHY Throughput DL_All Logs,PDCP Throughput DL_All Logs
-91.69,-9.31,-68.35,8,1876,6721.62,5365.49
-93.24,-9.52,-69.28,6.25,1876,4596.34,3738.83
-91.74,-9.59,-67.99,6.25,1876,4448.74,4083.78
-92.57,-8.97,-69.53,6.9,1876,3328.71,3338.65
-90.91,-8.75,-67.86,7.86,1876,5523.92,4224.34
-92.32,-8.11,-69.84,8.12,1876,5709.64,4641.45
-93.66,-8.21,-71.18,7.82,1876,5416.46,4583.67
-94.43,-8.7,-71.57,6.39,1876,4752.65,3212.43
-90.96,-8.75,-68.12,8.54,1876,5211.68,5131.06
-94.14,-9.83,-69.99,4.39,1876,3896.37,2173.45
-97.01,-9.35,-73.38,2.72,1876,2817.4,2503.95
-98.09,-9.31,-74.63,2.18,1876,1811.28,1880.53
-93.64,-9.47,-69.97,3.49,1876,3327.12,2828.17
-95.22,-9.4,-71.74,3.6,1876,3629.87,2919.61
-94.1,-8.92,-71.03,4.11,1876,3259.52,3104.42
-91.04,-9.19,-67.21,5.62,1876,4601.93,4378.03
-91.57,-9.34,-67.56,6.5,1876,4590.83,3495.56
-93.68,-9.17,-70.22,5.26,1876,4461.98,3474
-88.02,-9.1,-64.35,7.84,1876,4064.69,3728.79
-87.35,-8.94,-64.34,7.33,1876,6707.74,5278.29
-91.56,-9.76,-67.73,5.79,1876,4931.25,4033.86
-95,-10.69,-70,1.71,1876,3266.8,1711.44
-94.02,-10.15,-69.68,4.22,1876,2508.27,2652.64
-95.83,-10.12,-71.56,4.02,1876,3184.72,2734.91
-95.91,-10.63,-71.12,3.79,1876,2805.57,2364.59
-92.97,-9.84,-68.94,4.93,1876,3444.67,3080.49
-93.41,-10.07,-69.19,3.92,1876,3711.22,2895.61
-93.01,-10.56,-68.15,4.12,1876,3123.36,2565.35
-90.53,-10.74,-65.5,5.37,1876,3548.42,3004.15
-92.38,-11.26,-66.62,2.55,1876,3098.49,1857.62
-93.28,-10.55,-68.4,2.31,1876,2089.36,2215.55
-100.26,-12.17,-73.39,-1.8,1876,2439.54,1284.47
-100.02,-12.38,-73.41,-1.75,1876,1261.05,502.36
-99.42,-11.37,-73.75,-1.04,1876,1615.07,865.5
-98.41,-9.78,-74.24,2.32,1876,2090.75,1018.76
-94.95,-8.44,-72.3,5.94,1876,3710.93,2228.15
-91.34,-8.75,-68.41,9.51,1876,4276.38,2146.83
-87.32,-9.07,-64.15,12.56,1876,6800.08,3773.5
-84.99,-8.75,-61.96,13.35,1876,7926.38,4351.63
-87.2,-8.72,-64.26,11.13,1876,8507.64,3423.48
-91.18,-9.52,-67.35,7.49,1876,5329.08,2421.14
-91.22,-10.14,-66.71,4.75,1876,3672.89,1627.21
-89.06,-9.73,-65.15,6.48,1876,3726.07,2228.06
-89.5,-10.22,-65.1,6.24,1876,4202.08,1961.87
-86.96,-10.14,-62.61,4.22,1876,3444.49,798.49
-84.58,-9.94,-60.09,4.53,1876,3589.62,3036.03
-79.45,-8.68,-56.53,9.51,1876,4888.61,4465.77
-78.48,-8.6,-55.55,9.26,1876,7296.12,5106.67
-81.75,-9.29,-58.12,5.2,1876,6353.6,2985.51
-83.35,-11.76,-57.1,-0.73,1876,4710.84,900.15
-83.78,-11.38,-57.84,4.01,1876,1713.15,776.61
-76.74,-8.93,-53.74,11.23,1876,9322.72,5262.84
-80.46,-9.11,-57.23,10.53,1876,8791.44,4342.88
-81.78,-9.24,-58.43,9.48,1876,8238.04,3790.31
-84.77,-10.01,-60.62,5.44,1876,6654.54,2908.21
-86.49,-10.43,-61.69,2.81,1876,3902.31,1569.32
-86.39,-8.99,-63.19,5.51,1876,2993.89,1208.81
-81.65,-8.35,-58.98,9.68,1876,4859.74,3726.17
-78.28,-8.08,-55.93,13.26,1876,6876.47,6097.43
-79.21,-8.78,-56.29,12.52,1876,9355.91,8730.85
-77.84,-8.62,-55.13,14.36,1876,10700.16,9150.72
-75.54,-8.55,-52.81,16.75,1876,9892.7,11410.94
-69.54,-8.88,-46.46,20.23,1876,15227.05,11244.66
-70.82,-8.66,-47.88,21.69,1876,12436.87,8945.28
-69.77,-8.87,-46.77,23.49,1876,14523.12,12146.23
-68.34,-8.55,-45.7,21.66,1876,14039.5,11403.49
-67.67,-8.63,-44.97,24.79,1876,13686.8,11363.01
-70,-8.87,-47.06,21.73,1876,16153.45,19223.97
-68.92,-8.77,-46.05,21.06,1876,23885.7,18074.68
-69.68,-8.61,-46.91,21,1876,13295.38,11972.28
-73.69,-9.03,-50.5,14.74,1876,13632.79,10888.27
-73.29,-8.49,-50.21,17.58,1876,13534.4,14342.08
-70.52,-8.9,-47.41,19.93,1876,16576.14,12578.29
-69.96,-9.04,-46.8,21.35,1876,15621.79,12427.71
-70.37,-8.68,-47.65,19.25,1876,11395.94,7894.94
-70.75,-8.55,-48.11,17.65,1876,11802.21,10109.81
-69.44,-8.6,-46.8,19.75,1876,13387.71,12661.44
-66.66,-9,-43.51,22.74,1876,11197.01,10963.15
-66.26,-9.02,-43.09,22.88,1876,14606.83,12045.91
-68.8,-9.02,-45.66,21.18,1876,13260.65,12130.52
-70.29,-8.5,-47.67,20.18,1876,12637.86,9968.69
-69.96,-8.92,-46.88,20.63,1876,12185.01,7890.51
-69.13,-8.62,-46.43,21.52,1876,12734.82,10662.13
-69.81,-8.57,-47.02,23.01,1876,12051.19,11514.25
-68.75,-8.81,-45.8,23.4,1876,15992.48,13004.45
-66.62,-8.89,-43.6,21.73,1876,11679.93,12564.83
-69.64,-8.85,-46.7,20.95,1876,16435.73,13672.64
-70.11,-8.79,-47.17,19.21,1876,15892.2,16244.68
-69.08,-8.4,-46.46,19.88,1876,15840.91,11485.85
-70.67,-8.4,-48.18,18.58,1876,12503.27,8954.71
-70,-8.64,-47.11,20.07,1876,11356.17,11466.94
-68.8,-8.92,-45.81,20.07,1876,17939.01,13900.25
-69.49,-9,-46.24,20.66,1876,18282.55,13848.77
-69.93,-8.93,-46.94,20.28,1876,15625.96,12321.16
-68.48,-9.07,-45.38,21.16,1876,17481.39,13113.19
-70.23,-8.83,-47.38,20.21,1876,16382.55,14677.61
-71.75,-9.01,-48.65,16.81,1876,17243.98,14338.75
-72.29,-8.7,-49.15,15.43,1876,14209.86,12382.93
-71.41,-9.1,-47.9,14.69,1876,10836.79,10444.98
-70.36,-9.29,-46.85,15.41,1876,12949.72,10378.22
-70.18,-9.35,-46.4,13.62,1876,9761.51,8323.5
-72.51,-9.47,-48.7,12.02,1876,8761.85,7926.02
-72.01,-9.1,-48.24,11.66,1876,9612.35,9304.18
-75.34,-9.09,-51.72,7.72,1876,8977.45,6843.38
-78.75,-9.03,-55.03,4.87,1876,7592.19,5931.36
-80.47,-8.96,-56.83,4.15,1876,5514.35,4721.61
-76.84,-8.44,-53.22,5.43,1876,5064.64,2842.82
-73.92,-9.52,-49.92,7.15,1876,7281.88,6460.2
-76.11,-8.98,-52.51,7.24,1876,8794.87,7743.98
-73.95,-9.5,-50.16,7.01,1876,7196.41,6487.42
-77.68,-10.51,-52.64,2.89,1876,4398.58,2580.19
-75.4,-9.45,-51.69,8.44,1876,6630.19,5655.57
-76.64,-9.42,-52.79,7.13,1876,6275.75,5537.98
-95.3,-9.68,-71.54,9.15,1876,5825.15,5603.59
-95.58,-9.49,-72.04,8.42,1876,6932.15,5725.61
-96.69,-9.77,-72.86,7.74,1876,6332.83,5573.44
