RSRP,RSRQ,RSSI,PCC_SINR,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-95.72,-11.08,-70.02,-0.03,1794.03,1431.03
-95.72,-11.08,-70.02,-0.03,1794.03,1431.03
-96.19,-10.76,-70.71,-0.04,2188.81,1719.08
-96.19,-10.76,-70.71,-0.04,2188.81,1719.08
-96.19,-10.76,-70.71,-0.04,2188.81,1719.08
-96.19,-10.76,-70.71,-0.04,2188.81,1719.08
-96.49,-11.18,-70.16,-0.47,1765.63,1881.82
-96.49,-11.18,-70.16,-0.47,1765.63,1881.82
-96.49,-11.18,-70.16,-0.47,1765.63,1881.82
-96.49,-11.18,-70.16,-0.47,1765.63,1881.82
-96.21,-11.62,-69.92,-0.26,2145.9,1443.34
-96.21,-11.62,-69.92,-0.26,2145.9,1443.34
-96.21,-11.62,-69.92,-0.26,2145.9,1443.34
-96.21,-11.62,-69.92,-0.26,2145.9,1443.34
-97.5,-11.98,-70.9,-1.75,1856.42,1575.42
-97.5,-11.98,-70.9,-1.75,1856.42,1575.42
-97.5,-11.98,-70.9,-1.75,1856.42,1575.42
-97.5,-11.98,-70.9,-1.75,1856.42,1575.42
-98.51,-12.86,-70.46,-3.21,1518.82,820.31
-98.51,-12.86,-70.46,-3.21,1518.82,820.31
-98.51,-12.86,-70.46,-3.21,1518.82,820.31
-98.51,-12.86,-70.46,-3.21,1518.82,820.31
-99.33,-13.31,-71.3,-3.32,983.71,773.23
-99.33,-13.31,-71.3,-3.32,983.71,773.23
-99.33,-13.31,-71.3,-3.32,983.71,773.23
-99.33,-13.31,-71.3,-3.32,983.71,773.23
-98.67,-11.81,-72.25,-1.78,871.32,911.59
-98.67,-11.81,-72.25,-1.78,871.32,911.59
-98.67,-11.81,-72.25,-1.78,871.32,911.59
-98.67,-11.81,-72.25,-1.78,871.32,911.59
-100.67,-12.83,-73.31,-3.3,1340.72,900.17
-100.67,-12.83,-73.31,-3.3,1340.72,900.17
-100.67,-12.83,-73.31,-3.3,1340.72,900.17
-100.67,-12.83,-73.31,-3.3,1340.72,900.17
-102.11,-13.12,-74.48,-3.45,932.97,854.85
-102.11,-13.12,-74.48,-3.45,932.97,854.85
-102.11,-13.12,-74.48,-3.45,932.97,854.85
-102.11,-13.12,-74.48,-3.45,932.97,854.85
-101.58,-11.69,-75.55,-2.24,1066.5,634.66
-101.58,-11.69,-75.55,-2.24,1066.5,634.66
-101.58,-11.69,-75.55,-2.24,1066.5,634.66
-101.58,-11.69,-75.55,-2.24,1066.5,634.66
-100.34,-11.98,-73.78,-2.21,1100.38,807.57
-100.34,-11.98,-73.78,-2.21,1100.38,807.57
-100.34,-11.98,-73.78,-2.21,1100.38,807.57
-100.34,-11.98,-73.78,-2.21,1100.38,807.57
-102.46,-13.91,-73.88,-4.26,856.65,592.97
-102.46,-13.91,-73.88,-4.26,856.65,592.97
-102.46,-13.91,-73.88,-4.26,856.65,592.97
-102.46,-13.91,-73.88,-4.26,856.65,592.97
-99.34,-11.59,-73.49,-1.6,1242.73,748.44
-99.34,-11.59,-73.49,-1.6,1242.73,748.44
-99.34,-11.59,-73.49,-1.6,1242.73,748.44
-99.34,-11.59,-73.49,-1.6,1242.73,748.44
-100.96,-11.22,-75.5,-0.96,1121.91,892.47
-100.96,-11.22,-75.5,-0.96,1121.91,892.47
-100.96,-11.22,-75.5,-0.96,1121.91,892.47
-100.96,-11.22,-75.5,-0.96,1121.91,892.47
-97.67,-10.16,-73.42,0.98,2376.23,1695.86
-97.67,-10.16,-73.42,0.98,2376.23,1695.86
-97.67,-10.16,-73.42,0.98,2376.23,1695.86
-97.67,-10.16,-73.42,0.98,2376.23,1695.86
-98.05,-11.13,-72.53,-0.56,1544.5,1465.53
-98.05,-11.13,-72.53,-0.56,1544.5,1465.53
-98.05,-11.13,-72.53,-0.56,1544.5,1465.53
-98.05,-11.13,-72.53,-0.56,1544.5,1465.53
-100.58,-12.98,-73.02,-1.74,1552.23,1396.64
-100.58,-12.98,-73.02,-1.74,1552.23,1396.64
-100.58,-12.98,-73.02,-1.74,1552.23,1396.64
-100.58,-12.98,-73.02,-1.74,1552.23,1396.64
-102.41,-14.96,-72.56,-5.5,733.74,530.76
-102.41,-14.96,-72.56,-5.5,733.74,530.76
-102.41,-14.96,-72.56,-5.5,733.74,530.76
-102.41,-14.96,-72.56,-5.5,733.74,530.76
-101.25,-15.49,-70.4,-5.32,633.79,246.63
-101.25,-15.49,-70.4,-5.32,633.79,246.63
-101.25,-15.49,-70.4,-5.32,633.79,246.63
-101.25,-15.49,-70.4,-5.32,633.79,246.63
-102.76,-18.62,-68.15,-8.37,687.37,122.76
-102.76,-18.62,-68.15,-8.37,687.37,122.76
-102.76,-18.62,-68.15,-8.37,687.37,122.76
-102.76,-18.62,-68.15,-8.37,687.37,122.76
-103.92,-18.52,-70.65,-8.01,843.44,191.62
-103.92,-18.52,-70.65,-8.01,843.44,191.62
-103.92,-18.52,-70.65,-8.01,843.44,191.62
-103.92,-18.52,-70.65,-8.01,843.44,191.62
-99.37,-12.97,-70.86,-2.82,1199.1,478.89
-99.37,-12.97,-70.86,-2.82,1199.1,478.89
-99.37,-12.97,-70.86,-2.82,1199.1,478.89
-99.37,-12.97,-70.86,-2.82,1199.1,478.89
-101.43,-14.61,-70.93,-4.37,738.12,738.88
-101.43,-14.61,-70.93,-4.37,738.12,738.88
-101.43,-14.61,-70.93,-4.37,738.12,738.88
-101.43,-14.61,-70.93,-4.37,738.12,738.88
-101.8,-15.5,-71.45,-5.64,786.36,461.94
-101.8,-15.5,-71.45,-5.64,786.36,461.94
-101.8,-15.5,-71.45,-5.64,786.36,461.94
-101.8,-15.5,-71.45,-5.64,786.36,461.94
-103.86,-16.15,-72.58,-6.72,793.41,588.31
-103.86,-16.15,-72.58,-6.72,793.41,588.31
-103.86,-16.15,-72.58,-6.72,793.41,588.31
