RSRP,RSRQ,RSSI,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-72.28,-9.49,-48.78,4632.33,3796.62
-72.28,-9.49,-48.78,4632.33,3796.62
-72.59,-9.45,-49.14,3910.8,3385.15
-72.59,-9.45,-49.14,3910.8,3385.15
-73.71,-9.99,-49.61,4649.18,3925.94
-73.71,-9.99,-49.61,4649.18,3925.94
-74.7,-9.44,-51.1,2955.81,2290.56
-74.7,-9.44,-51.1,2955.81,2290.56
-72.63,-9.48,-49.01,8096.88,5909.33
-72.63,-9.48,-49.01,8096.88,5909.33
-73.71,-11.45,-48.15,5828.5,1034.59
-73.71,-11.45,-48.15,5828.5,1034.59
-72.58,-10.39,-47.92,3724.4,3026.32
-72.58,-10.39,-47.92,3724.4,3026.32
-73.06,-10.04,-48.91,3668.42,2991.43
-73.06,-10.04,-48.91,3668.42,2991.43
-72.73,-9.71,-48.98,7733.16,7968.08
-72.73,-9.71,-48.98,7733.16,7968.08
-73.71,-9.66,-49.98,8134.53,7448.03
-73.71,-9.66,-49.98,8134.53,7448.03
-70.75,-9.75,-46.9,8445.45,7454.79
-70.75,-9.75,-46.9,8445.45,7454.79
-71.27,-8.88,-47.91,9242.79,8132.0
-71.27,-8.88,-47.91,9242.79,8132.0
-71.79,-9.64,-48.1,8439.96,6359.2
-71.79,-9.64,-48.1,8439.96,6359.2
-73.35,-9.83,-49.37,5987.61,5863.18
-73.35,-9.83,-49.37,5987.61,5863.18
-71.76,-9.48,-47.88,7677.8,7170.09
-71.76,-9.48,-47.88,7677.8,7170.09
-73.19,-9.55,-49.6,6556.62,6532.28
-73.19,-9.55,-49.6,6556.62,6532.28
-73.69,-10.02,-49.62,9728.58,8396.46
-73.69,-10.02,-49.62,9728.58,8396.46
-73.3,-10.87,-48.34,7614.04,6458.2
-73.3,-10.87,-48.34,7614.04,6458.2
-72.66,-9.56,-48.81,8122.32,7259.44
-72.66,-9.56,-48.81,8122.32,7259.44
-73.57,-9.94,-49.51,6849.75,5379.3
-73.57,-9.94,-49.51,6849.75,5379.3
-72.63,-9.63,-48.64,6180.2,5668.54
-72.63,-9.63,-48.64,6180.2,5668.54
-72.21,-9.0,-48.84,8838.43,9487.08
-72.21,-9.0,-48.84,8838.43,9487.08
-71.52,-9.58,-47.63,9844.8,7230.96
-71.52,-9.58,-47.63,9844.8,7230.96
-70.37,-8.71,-47.47,8323.0,7742.42
-70.37,-8.71,-47.47,8323.0,7742.42
-68.83,-8.53,-46.0,8156.99,6819.75
-68.83,-8.53,-46.0,8156.99,6819.75
-70.33,-8.3,-47.78,6901.34,6230.47
-70.33,-8.3,-47.78,6901.34,6230.47
-72.56,-8.93,-49.41,7585.71,6283.94
-72.56,-8.93,-49.41,7585.71,6283.94
-70.19,-8.57,-47.16,7889.44,6832.75
-70.19,-8.57,-47.16,7889.44,6832.75
-70.33,-8.52,-47.4,7405.34,3500.43
-70.33,-8.52,-47.4,7405.34,3500.43
-76.0,-14.65,-47.15,4136.12,708.87
-76.0,-14.65,-47.15,4136.12,708.87
-73.06,-9.03,-49.68,768.08,428.39
-73.06,-9.03,-49.68,768.08,428.39
-70.67,-4.38,-51.37,3958.7,611.78
-70.67,-4.38,-51.37,3958.7,611.78
-72.99,-6.22,-52.32,4709.94,553.9
-72.99,-6.22,-52.32,4709.94,553.9
-71.35,-6.61,-50.22,3865.0,2612.23
-71.35,-6.61,-50.22,3865.0,2612.23
-70.61,-7.96,-48.28,8305.8,8939.87
-70.61,-7.96,-48.28,8305.8,8939.87
-75.53,-9.77,-51.68,9515.88,3714.74
-75.53,-9.77,-51.68,9515.88,3714.74
-71.75,-8.89,-48.5,3975.11,6266.07
-71.75,-8.89,-48.5,3975.11,6266.07
-72.73,-9.76,-48.7,7352.93,6325.03
-72.73,-9.76,-48.7,7352.93,6325.03
-70.71,-9.24,-47.36,7526.06,7292.17
-70.71,-9.24,-47.36,7526.06,7292.17
-68.93,-8.49,-46.02,7935.94,4420.17
-68.93,-8.49,-46.02,7935.94,4420.17
-65.79,-7.71,-43.74,5947.66,8817.93
-65.79,-7.71,-43.74,5947.66,8817.93
-71.0,-8.46,-48.42,11382.71,10055.18
-71.0,-8.46,-48.42,11382.71,10055.18
-71.73,-9.02,-48.45,9464.31,9299.72
-71.73,-9.02,-48.45,9464.31,9299.72
-70.38,-8.42,-47.56,11045.99,9962.64
-70.38,-8.42,-47.56,11045.99,9962.64
-72.52,-8.7,-49.69,10473.01,6494.7
-72.52,-8.7,-49.69,10473.01,6494.7
-73.12,-8.62,-50.41,6840.36,6896.59
-73.12,-8.62,-50.41,6840.36,6896.59
-72.12,-8.71,-49.31,8283.34,6314.15
-72.12,-8.71,-49.31,8283.34,6314.15
-72.76,-9.61,-49.11,7841.35,6229.29
-72.76,-9.61,-49.11,7841.35,6229.29
-74.58,-9.39,-51.15,6116.43,3995.0
-74.58,-9.39,-51.15,6116.43,3995.0
-73.33,-9.01,-50.27,5209.07,6966.07
-73.33,-9.01,-50.27,5209.07,6966.07
-72.59,-9.06,-49.47,7827.75,7116.85
-72.59,-9.06,-49.47,7827.75,7116.85
-74.14,-8.52,-51.56,7903.4,8009.11
-74.14,-8.52,-51.56,7903.4,8009.11
-75.15,-9.09,-52.04,9791.11,7586.36
-75.15,-9.09,-52.04,9791.11,7586.36
-76.39,-8.66,-53.71,7658.93,8304.11
-76.39,-8.66,-53.71,7658.93,8304.11
-76.23,-8.76,-53.46,10126.1,8598.38
-76.23,-8.76,-53.46,10126.1,8598.38
-75.22,-8.97,-52.24,8705.15,7946.64
-75.22,-8.97,-52.24,8705.15,7946.64
-76.08,-9.36,-52.62,8798.07,7494.17
-76.08,-9.36,-52.62,8798.07,7494.17
-77.1,-8.91,-54.14,8040.23,6756.8
-77.1,-8.91,-54.14,8040.23,6756.8
-76.81,-8.88,-53.8,7574.17,7371.31
-76.81,-8.88,-53.8,7574.17,7371.31
-78.85,-9.05,-55.64,8216.36,6169.52
-78.85,-9.05,-55.64,8216.36,6169.52
-75.91,-8.84,-52.97,6746.16,5750.77
-75.91,-8.84,-52.97,6746.16,5750.77
-78.0,-8.91,-54.99,7169.68,7042.68
-78.0,-8.91,-54.99,7169.68,7042.68
-74.23,-8.69,-51.47,7382.09,8120.7
-74.23,-8.69,-51.47,7382.09,8120.7
-76.7,-8.39,-54.12,9796.94,8650.56
-76.7,-8.39,-54.12,9796.94,8650.56
-74.42,-8.34,-51.87,9125.55,7619.89
-74.42,-8.34,-51.87,9125.55,7619.89
-75.36,-8.71,-52.6,8833.3,7888.08
-75.36,-8.71,-52.6,8833.3,7888.08
-74.87,-8.75,-52.07,9003.49,7333.15
-74.87,-8.75,-52.07,9003.49,7333.15
-71.81,-8.26,-49.48,7782.97,8817.24
-71.81,-8.26,-49.48,7782.97,8817.24
-72.75,-8.67,-49.91,10032.69,7969.96
-72.75,-8.67,-49.91,10032.69,7969.96
-72.64,-8.72,-49.8,9115.9,8275.49
-72.64,-8.72,-49.8,9115.9,8275.49
-72.23,-8.77,-49.41,8815.51,6562.19
-72.23,-8.77,-49.41,8815.51,6562.19
-72.35,-8.69,-49.36,7187.21,5385.16
-72.35,-8.69,-49.36,7187.21,5385.16
-75.27,-8.81,-52.21,5682.95,3295.16
-75.27,-8.81,-52.21,5682.95,3295.16
-71.15,-8.71,-48.25,4774.63,6483.39
-71.15,-8.71,-48.25,4774.63,6483.39
-71.44,-8.39,-48.7,7710.04,9545.07
-71.44,-8.39,-48.7,7710.04,9545.07
-71.57,-8.6,-48.66,10017.04,6630.67
-71.57,-8.6,-48.66,10017.04,6630.67
-69.22,-8.37,-46.34,7809.23,7002.6
-69.22,-8.37,-46.34,7809.23,7002.6
-70.34,-8.18,-47.65,7617.1,8498.51
-70.34,-8.18,-47.65,7617.1,8498.51
-69.22,-8.14,-46.53,9928.35,9140.56
-69.22,-8.14,-46.53,9928.35,9140.56
-69.5,-7.79,-47.15,10529.49,10941.95
